condition,record,status,channel,old_gain,new_gain,valid_gains
"('earndb', 'N6', 1000, 40)",N6_evoked_raw_40_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 40)",N6_evoked_raw_40_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 40)",N6_evoked_raw_40_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 40)",N6_evoked_raw_40_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 45)",N6_evoked_raw_45_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 45)",N6_evoked_raw_45_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 45)",N6_evoked_raw_45_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 45)",N6_evoked_raw_45_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 45)",N6_evoked_raw_45_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 45)",N6_evoked_raw_45_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 50)",N6_evoked_raw_50_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 50)",N6_evoked_raw_50_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 50)",N6_evoked_raw_50_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 50)",N6_evoked_raw_50_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 50)",N6_evoked_raw_50_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 50)",N6_evoked_raw_50_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 55)",N6_evoked_raw_55_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 55)",N6_evoked_raw_55_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 55)",N6_evoked_raw_55_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 55)",N6_evoked_raw_55_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 55)",N6_evoked_raw_55_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 55)",N6_evoked_raw_55_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 60)",N6_evoked_raw_60_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 60)",N6_evoked_raw_60_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 60)",N6_evoked_raw_60_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 60)",N6_evoked_raw_60_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 60)",N6_evoked_raw_60_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 60)",N6_evoked_raw_60_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 65)",N6_evoked_raw_65_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 65)",N6_evoked_raw_65_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 65)",N6_evoked_raw_65_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 65)",N6_evoked_raw_65_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 65)",N6_evoked_raw_65_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 65)",N6_evoked_raw_65_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 70)",N6_evoked_raw_70_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 70)",N6_evoked_raw_70_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 70)",N6_evoked_raw_70_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 70)",N6_evoked_raw_70_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 70)",N6_evoked_raw_70_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 70)",N6_evoked_raw_70_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 75)",N6_evoked_raw_75_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 75)",N6_evoked_raw_75_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N6', 1000, 75)",N6_evoked_raw_75_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
